,Airline,Month_num,Passengers_In,Passengers_Out
893,Qantas Airways,4,6736,6951
681,Gulf Air,4,2483,2019
1310,All Nippon Airways,4,5420,5214
347,Tasman Cargo Airlines,4,0,0
1003,Air Caledonie International,4,4965,4911
287,Indonesia AirAsia,4,13873,14223
286,Emirates,4,76056,104663
1063,Singapore Airlines,4,2507,2139
1045,Virgin Australia,4,587,577
269,Qantas Airways,4,6486,5988
1027,AirAsia X,4,44710,46104
1,Qantas Airways,4,3111,2860
1319,Korean Air,4,10198,11530
1030,Jetstar,4,1805,1960
1293,Virgin Australia,4,11163,11135
1039,Hawaiian Airlines,4,9303,10179
353,Beijing Capital Airlines,4,3172,3203
199,Cebu Pacific Air,4,13156,11624
276,Malindo Air,4,5794,7433
338,Qantas Airways,4,14382,15593
275,Air New Zealand,4,123897,115415
6,Solomon Airlines,4,1512,1302
1307,Eva Air,4,4097,4317
354,Samoa Airways,4,1173,1170
399,Japan Airlines,4,7751,8241
291,Jetstar,4,19325,17613
1345,LATAM Airlines,4,2786,3251
305,American Airlines,4,7685,8075
1297,Air Mauritius,4,1755,2043
1067,Pacific Air Express,4,0,0
1288,Virgin Australia,4,2348,2449
189,Malindo Air,4,8199,7952
1004,United Parcel Service,4,0,0
13,Virgin Australia,4,1023,822
404,Jetstar,4,7379,7470
165,Polar Air Cargo,4,0,0
216,Scoot Tigerair,4,25097,26513
265,Federal Express Corporation,4,0,0
373,Qantas Airways,4,11060,11342
1097,Malindo Air,5,7943,5701
927,Hawaiian Airlines,5,10546,10385
110,Qantas Airways,5,69455,63949
357,SriLankan Airlines,5,7543,5963
539,Asiana Airlines,5,7121,7227
365,Indonesia AirAsia,5,14199,13631
145,Qantas Airways,5,5804,6189
146,Polar Air Cargo,5,0,0
1342,Qantas Airways,5,15530,14560
1117,China Airlines,5,3278,3617
701,Cathay Pacific Airways,5,71332,78268
364,LATAM Airlines,5,6503,5632
937,British Airways,5,3132,4979
1341,Cebu Pacific Air,5,12165,10027
1299,Samoa Airways,5,1423,1268
522,Qantas Airways,5,6080,5223
712,Air Vanuatu,5,4442,3954
1178,Qantas Airways,5,27308,28774
1114,Emirates,5,0,0
